customer id,purchase_value,purchase_freq,lifespan,customer_clv,first_order_date,second_order_date,datediff,first_order_sales,second_order_sales,log_clv,customer_clv,datediff,first_order_sales,second_order_sales
CT-11995,0.9542,0.0025,0.2863,0.0007,2014.5.7,2014.12.20,227 ,1091.35,596.66,,0.0007,227 ,1091.35,596.66
JO-15280,0.004,0.0025,0.3266,0,2014.3.31,2014.12.15,259 ,0.85,6.16,,0,259 ,0.85,6.16
MP-18175,0.9748,0.0025,0.3052,0.0007,2014.3.28,2014.11.25,242 ,330.59,1393.87,,0.0007,242 ,330.59,1393.87
SG-20605,0.6845,0.0038,0.4161,0.0011,2014.1.23,2014.11.3,284 ,5.94,832.86,,0.0011,284 ,5.94,832.86
JO-15145,0.226,0.005,0.4098,0.0005,2014.1.6,2014.7.26,201 ,12.78,111.93,,0.0005,201 ,12.78,111.93
MZ-17515,1.2244,0.0025,0.2787,0.0009,2014.4.4,2014.11.11,221 ,7.18,2158.69,,0.0009,221 ,7.18,2158.69
MC-17605,0.715,0.0025,0.3241,0.0006,2014.3.19,2014.12.1,257 ,590.76,674.06,,0.0006,257 ,590.76,674.06
BD-11605,1.2352,0.0025,0.2699,0.0008,2014.1.13,2014.8.15,214 ,1679.75,505.28,,0.0008,214 ,1679.75,505.28
AB-10015,0.1821,0.0025,0.0214,0,2014.2.18,2014.3.7,17 ,12.62,309.59,,0,17 ,12.62,309.59
AG-10390,0.0812,0.0025,0.1728,0,2014.4.19,2014.9.3,137 ,129.33,14.4,,0,137 ,129.33,14.4
SZ-20035,0.3085,0.0038,0.3506,0.0004,2014.9.7,2014.11.4,58 ,469.04,52.06,,0.0004,58 ,469.04,52.06
SS-20410,0.8369,0.0038,0.2131,0.0007,2014.5.30,2014.9.7,100 ,355.46,321.98,,0.0007,100 ,355.46,321.98
CV-12295,0.8088,0.0025,0.1992,0.0004,2014.3.28,2014.9.2,158 ,1190.84,239.98,,0.0004,158 ,1190.84,239.98
SC-20260,0.4615,0.0063,0.4527,0.0013,2014.4.6,2014.9.14,161 ,687.45,31.41,,0.0013,161 ,687.45,31.41
DD-13570,0.0719,0.0025,0.3455,0.0001,2014.3.31,2014.12.30,274 ,88.12,39.13,,0.0001,274 ,88.12,39.13
DL-12925,1.4581,0.0038,0.3039,0.0017,2014.9.9,2014.11.1,53 ,1299.99,733.56,,0.0017,53 ,1299.99,733.56
EH-13765,0.1635,0.0025,0.2383,0.0001,2014.4.12,2014.10.18,189 ,39.68,249.47,,0.0001,189 ,39.68,249.47
JG-15160,1.1612,0.0038,0.4376,0.0019,2014.5.30,2014.6.21,22 ,70.37,1214.85,,0.0019,22 ,70.37,1214.85
CS-11860,0.2766,0.0025,0.0744,0.0001,2014.5.2,2014.6.30,59 ,479.98,9.29,,0.0001,59 ,479.98,9.29
TS-21430,1.0818,0.0025,0.1311,0.0004,2014.7.30,2014.11.11,104 ,1367.84,545.93,,0.0004,104 ,1367.84,545.93
AI-10855,1.3058,0.005,0.4035,0.0026,2014.4.28,2014.5.10,12 ,1679.96,201.73,,0.0026,12 ,1679.96,201.73
LS-17200,0.3801,0.0025,0.0492,0,2014.10.18,2014.11.26,39 ,605.34,67.11,,0,39 ,605.34,67.11
BC-11125,0.6436,0.0038,0.4401,0.0011,2014.7.6,2014.9.13,69 ,478.48,340.12,,0.0011,69 ,478.48,340.12
PO-18850,0.1507,0.0038,0.227,0.0001,2014.11.2,2014.12.7,35 ,88.78,105.52,,0.0001,35 ,88.78,105.52
SH-20395,1.0384,0.0038,0.4325,0.0017,2014.11.2,2014.11.3,1 ,409.3,1395.67,,0.0017,1 ,409.3,1395.67
AH-10030,0.3665,0.005,0.319,0.0006,2014.4.22,2014.5.13,21 ,257.75,287.46,,0.0006,21 ,257.75,287.46
TS-21340,0.2189,0.0025,0.2926,0.0002,2014.1.19,2014.9.8,232 ,378.59,8.61,,0.0002,232 ,378.59,8.61
DH-13675,0.5188,0.0025,0.1362,0.0002,2014.8.12,2014.11.28,108 ,457.74,460.09,,0.0002,108 ,457.74,460.09
GM-14440,1.2484,0.0025,0.3468,0.0011,2014.3.21,2014.12.21,275 ,310.53,1897.92,,0.0011,275 ,310.53,1897.92
JK-15640,0.0339,0.005,0.2799,0,2014.9.19,2014.9.23,4 ,5.67,28.8,,0,4 ,5.67,28.8
LS-17245,0.3442,0.0025,0.0517,0,2014.10.16,2014.11.26,41 ,194.32,414.63,,0,41 ,194.32,414.63
FG-14260,0.4218,0.0025,0.227,0.0002,2014.5.21,2014.11.17,180 ,711.68,34.44,,0.0002,180 ,711.68,34.44
CC-12220,0.3773,0.0038,0.2711,0.0004,2014.10.4,2014.11.14,41 ,589.41,32.4,,0.0004,41 ,589.41,32.4
RB-19465,0.6937,0.0025,0.2232,0.0004,2014.3.14,2014.9.7,177 ,583.36,643.78,,0.0004,177 ,583.36,643.78
AY-10555,0.1176,0.0025,0.3329,0.0001,2014.4.6,2014.12.26,264 ,199.99,8.02,,0.0001,264 ,199.99,8.02
GA-14725,0.2464,0.0038,0.4061,0.0004,2014.2.11,2014.3.30,47 ,202.33,205.67,,0.0004,47 ,202.33,205.67
TB-21595,0.0971,0.0025,0.3304,0.0001,2014.2.18,2014.11.7,262 ,25.16,146.69,,0.0001,262 ,25.16,146.69
AT-10735,0.1518,0.0025,0.082,0,2014.8.30,2014.11.3,65 ,121.24,147.34,,0,65 ,121.24,147.34
EB-13705,0.6043,0.0038,0.3354,0.0008,2014.7.8,2014.12.15,160 ,502.49,445.8,,0.0008,160 ,502.49,445.8
DK-12835,0.305,0.0038,0.401,0.0005,2014.3.26,2014.11.23,242 ,60.08,155.37,,0.0005,242 ,60.08,155.37
VP-21760,0.6225,0.005,0.3342,0.001,2014.9.6,2014.10.6,30 ,100.36,386.34,,0.001,30 ,100.36,386.34
MM-18055,0.5008,0.0025,0.0567,0.0001,2014.4.11,2014.5.26,45 ,410.1,475.79,,0.0001,45 ,410.1,475.79
FP-14320,1.2327,0.0038,0.1602,0.0008,2014.12.7,2014.12.9,2 ,8.64,1110.65,,0.0008,2 ,8.64,1110.65
NC-18340,0.0976,0.0025,0.0441,0,2014.3.30,2014.5.4,35 ,129.3,43.31,,0,35 ,129.3,43.31
MH-17440,0.0446,0.0025,0.0517,0,2014.2.4,2014.3.17,41 ,17.25,61.63,,0,41 ,17.25,61.63
CM-12715,2.2524,0.005,0.4527,0.0051,2014.3.7,2014.9.26,203 ,1143.82,68.53,,0.0051,203 ,1143.82,68.53
FH-14275,0.6556,0.0025,0.2497,0.0004,2014.4.6,2014.10.21,198 ,370.92,788.86,,0.0004,198 ,370.92,788.86
BG-11035,1.0493,0.0038,0.4023,0.0016,2014.11.5,2014.12.6,31 ,149.9,42.21,,0.0016,31 ,149.9,42.21
EB-14170,0.4681,0.0038,0.2068,0.0004,2014.9.29,2014.10.17,18 ,817.8,5.31,,0.0004,18 ,817.8,5.31
QJ-19255,0.1869,0.0025,0.0958,0,2014.3.17,2014.6.1,76 ,126.62,204.08,,0,76 ,126.62,204.08
KH-16360,0.117,0.0025,0.0277,0,2014.4.29,2014.5.21,22 ,19.98,186.91,,0,22 ,19.98,186.91
BT-11440,0.257,0.0025,0.2169,0.0001,2014.6.4,2014.11.23,172 ,440.05,14.67,,0.0001,172 ,440.05,14.67
NF-18475,0.0541,0.0025,0.2535,0,2014.3.14,2014.10.1,201 ,91.06,4.71,,0,201 ,91.06,4.71
AS-10090,0.4002,0.0025,0.1173,0.0001,2014.9.22,2014.12.24,93 ,693.99,13.97,,0.0001,93 ,693.99,13.97
JF-15415,0.1907,0.0038,0.3682,0.0003,2014.6.17,2014.8.22,66 ,62.02,11.56,,0.0003,66 ,62.02,11.56
NC-18535,1.3625,0.0025,0.0353,0.0001,2014.7.23,2014.8.20,28 ,992.83,1417.35,,0.0001,28 ,992.83,1417.35
MD-17350,1.4284,0.0025,0.0668,0.0002,2014.11.5,2014.12.28,53 ,1476.83,1049.97,,0.0002,53 ,1476.83,1049.97
